,X,lon,lat,Location,Pod1,Pod2,Pod3,Group,start_date,end_date,Ortho,Scene,order_id_s_h,valid_season
108,37,37.39699,0.13175,kenya_A000551_2,A000551,,,kenya,2018-06-19,2019-02-16,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb,N
109,37,37.39699,0.13175,kenya_A000551_3,A000551,,,kenya,2018-11-20,2019-06-14,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb,Y
110,37,37.39699,0.13175,kenya_A000551_4,A000551,,,kenya,2019-03-18,2019-09-12,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb,discard
111,37,37.39699,0.13175,kenya_A000551_5,A000551,,,kenya,2019-06-16,2020-02-06,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb,discard
112,37,37.39699,0.13175,kenya_A000551_6,A000551,,,kenya,2019-11-10,2020-05-20,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb,N
113,37,37.39699,0.13175,kenya_A000551_7,A000551,,,kenya,2020-02-22,2021-02-24,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb,discard
114,37,37.39699,0.13175,kenya_A000551_8,A000551,,,kenya,2020-11-28,2021-07-12,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb,Y
115,37,37.39699,0.13175,kenya_A000551_9,A000551,,,kenya,2021-04-15,2022-01-03,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb,N
116,37,37.39699,0.13175,kenya_A000551_10,A000551,,,kenya,2021-10-07,2022-12-23,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb,discard
117,38,36.98948,-0.07288,kenya_A000659_1,A000659,,,kenya,2017-12-30,2018-11-12,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485,N
118,38,36.98948,-0.07288,kenya_A000659_2,A000659,,,kenya,2018-08-16,2019-05-02,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485,Y
119,38,36.98948,-0.07288,kenya_A000659_3,A000659,,,kenya,2019-02-03,2019-11-05,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485,Y
120,38,36.98948,-0.07288,kenya_A000659_4,A000659,,,kenya,2019-08-09,2020-05-07,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485,Y
121,38,36.98948,-0.07288,kenya_A000659_5,A000659,,,kenya,2020-02-09,2020-09-12,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485,Y
122,38,36.98948,-0.07288,kenya_A000659_6,A000659,,,kenya,2020-06-16,2021-04-21,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485,Y
123,38,36.98948,-0.07288,kenya_A000659_7,A000659,,,kenya,2021-01-23,2021-09-16,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485,Y
124,38,36.98948,-0.07288,kenya_A000659_8,A000659,,,kenya,2021-06-20,2022-05-05,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485,N
125,38,36.98948,-0.07288,kenya_A000659_9,A000659,,,kenya,2022-02-06,2022-09-22,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485,Y
126,38,36.98948,-0.07288,kenya_A000659_10,A000659,,,kenya,2022-06-26,2023-02-18,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485,N
127,39,37.21657,0.08684,kenya_A000660_1,A000660,,,kenya,2018-09-01,2019-05-22,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b,discard
128,39,37.21657,0.08684,kenya_A000660_2,A000660,,,kenya,2019-02-23,2020-01-31,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b,N
129,40,37.41658,0.13246,kenya_A000662_1,A000662,,,kenya,2017-12-23,2018-07-14,250,250,f5bfef31-7577-4813-8e94-cd127eb457da,N
